Company,Ticker,Type,InvestedBy,RecentAdds,RecentDels,investorTypeCount,investorType,InvestedByList,RecentAddsList,RecentDelsList
Coforge,COFORGE,RecentAdd,5,2,1,2,DII | FII,Mirae Asset Large &amp; Midcap Fund | Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund | Kotak Emergency Equity Scheme | Goldman Sachs Funds - Goldman Sachs India Equity P | Small Cap World Fund Inc,Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund | Small Cap World Fund Inc,Kotak Emergency Equity Scheme
Neuland Labs.,NEULANDLAB,RecentAdd,4,2,0,2,HNI | FII,Mukul Mahavir Agrawal | Ashish Rameshchandra Kacholia | Small Cap World Fund Inc | Jupiter India Fund,Small Cap World Fund Inc | Jupiter India Fund,
Ipca Labs.,IPCALAB,RecentAdd,4,2,0,2,DII | FII,Parag Parikh Flexi Cap Fund | Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund | Kotak Emergency Equity Scheme | Goldman Sachs Funds - Goldman Sachs India Equity P,Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund | Kotak Emergency Equity Scheme,
Gland Pharma,GLAND,RecentAdd,4,2,0,2,DII | FII,Mirae Asset Large &amp; Midcap Fund | Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund | Kotak Emergency Equity Scheme | Small Cap World Fund Inc,Mirae Asset Large &amp; Midcap Fund | Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund,
Dilip Buildcon,DBL,RecentAdd,3,2,0,3,HNI | DII | FII,Akash Bhanshali | Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund | Small Cap World Fund Inc,Akash Bhanshali | Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund,
Ethos Ltd,ETHOSLTD,RecentAdd,3,2,1,2,HNI | FII,Mukul Mahavir Agrawal | Goldman Sachs Funds - Goldman Sachs India Equity P | Jupiter India Fund,Goldman Sachs Funds - Goldman Sachs India Equity P | Jupiter India Fund,Mukul Mahavir Agrawal
Delhivery,DELHIVERY,RecentAdd,2,2,0,2,DII | FII,Mirae Asset Large &amp; Midcap Fund | Small Cap World Fund Inc,Mirae Asset Large &amp; Midcap Fund | Small Cap World Fund Inc,
Cartrade Tech,CARTRADE,RecentAdd,2,2,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P | Jupiter India Fund,Goldman Sachs Funds - Goldman Sachs India Equity P | Jupiter India Fund,
Balrampur Chini,BALRAMCHIN,RecentAdd,4,1,0,3,HNI | DII | FII,Akash Bhanshali | Quant Mutual Fund - Quant Small Cap Fund | Massachusetts Institue of Technology | Goldman Sachs Funds - Goldman Sachs India Equity P,Quant Mutual Fund - Quant Small Cap Fund,
Ramkrishna Forg.,RKFORGE,RecentAdd,4,1,0,3,HNI | DII | FII,Akash Bhanshali | Kotak Emergency Equity Scheme | Massachusetts Institue of Technology | Small Cap World Fund Inc,Small Cap World Fund Inc,
